state_name,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason
ame43,baseline,E_old,True,True,0.0,1.0,114,128.0,8.85,298,314.75,77,79.85,128,"{'rz': 94, 'sx': 80, 'rx': 47, 'cz': 42, 'rzz': 35, 'barrier': 8}",20,20,0,ok,,34,32,ok,,0.95,0.987833544029,31,28,0.95,0.987833544029,31,28,0.95,0.987833544029,31.0,28.0,True,True,True,
ame43,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,134,156.55,9.18,329,313.55,86,86.9,128,"{'rz': 95, 'sx': 84, 'rx': 64, 'cz': 48, 'rzz': 38}",20,20,0,ok,,30,24,ok,,0.99,1.0,30,24,0.99,1.0,30,24,0.99,1.0,30.0,24.0,False,False,False,
ame43,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,134,156.6,9.17,330,314.55,86,86.9,128,"{'rz': 95, 'sx': 84, 'rx': 65, 'cz': 48, 'rzz': 38}",20,20,0,ok,,31,24,ok,,0.91,0.969941188665,31,24,0.91,0.969941188665,31,24,0.91,0.969941188665,31.0,24.0,False,False,False,
ame43,monomial_full,sup012_P012_ph101,True,True,0.0,1.0,135,156.65,8.93,339,320.8,86,86.9,128,"{'rz': 104, 'sx': 84, 'rx': 65, 'cz': 48, 'rzz': 38}",20,20,0,ok,,30,24,ok,,0.96,0.857871263741,30,24,0.99,1.0,30,24,0.99,1.0,30.0,24.0,False,False,False,
ame43,monomial_full,sup012_P012_ph110,True,True,0.0,1.0,129,151.75,8.86,320,307.75,88,88.35,128,"{'sx': 101, 'rz': 89, 'cz': 57, 'rx': 42, 'rzz': 31}",20,20,0,ok,,27,24,ok,,0.96,1.0,27,24,0.96,1.0,27,24,0.96,1.0,27.0,24.0,False,False,False,
ame43,monomial_full,sup012_P012_ph122,True,True,0.0,1.0,135,157.15,9.21,339,322.35,86,86.9,128,"{'rz': 106, 'sx': 84, 'rx': 63, 'cz': 48, 'rzz': 38}",20,20,0,ok,,31,24,ok,,0.93,0.969941188665,31,24,0.93,0.969941188665,31,24,0.93,0.969941188665,31.0,24.0,False,False,False,
ame43,monomial_full,sup012_P012_ph202,True,True,0.0,1.0,135,156.65,8.89,339,320.6,86,86.9,128,"{'rz': 104, 'sx': 84, 'rx': 65, 'cz': 48, 'rzz': 38}",20,20,0,ok,,31,24,ok,,0.9,0.913118944748,31,24,0.9,0.913118944748,31,24,,,,,False,False,False,
ame43,monomial_full,sup012_P012_ph211,True,True,0.0,1.0,135,157.15,9.12,342,322.9,86,86.9,128,"{'rz': 106, 'sx': 84, 'rx': 66, 'cz': 48, 'rzz': 38}",20,20,0,ok,,31,24,ok,,0.93,1.0,31,24,0.93,1.0,31,24,0.93,1.0,31.0,24.0,False,False,False,
ame43,monomial_full,sup012_P012_ph220,True,True,0.0,1.0,135,157.1,9.39,342,320.65,86,86.9,128,"{'rz': 106, 'sx': 84, 'rx': 66, 'cz': 48, 'rzz': 38}",20,20,0,ok,,30,24,ok,,0.91,1.0,30,24,0.91,1.0,30,24,0.91,1.0,30.0,24.0,False,False,False,
ame43,monomial_full,sup013_P102_ph110,True,False,0.0,0.666667,128,151.6,8.3,309,299.25,93,93.35,128,"{'sx': 107, 'rz': 70, 'cz': 64, 'rx': 39, 'rzz': 29}",20,20,0,ok,,28,28,ok,,0.91,0.949800812204,28,28,0.91,0.949800812204,28,28,,,,,False,False,False,
